days_since_birth,girl_tall_3,girl_tall_10,girl_tall_25,girl_tall_50,girl_tall_75,girl_tall_90,girl_tall_97,boy_tall_3,boy_tall_10,boy_tall_25,boy_tall_50,boy_tall_75,boy_tall_90,boy_tall_97,gw3,girl_weight_10,girl_weight_25,girl_weight_50,girl_weight_75,girl_weight_90,girl_weight_97,boy_weight_3,boy_weight_10,boy_weight_25,bw50,boy_weight_75,boy_weight_90,boy_weight_97
62,50.7266666666667,52.12,53.3266666666667,54.7266666666667,56.0266666666667,57.1333333333333,58.14,51.54,52.9466666666667,54.34,55.7466666666667,57.0466666666667,58.1533333333333,59.1533333333333,3.56066666666667,3.86333333333333,4.166,4.49933333333333,4.83266666666667,5.136,5.42866666666667,3.81533333333333,4.14933333333333,4.49266666666667,4.86666666666667,5.23133333333333,5.564,5.878
63,50.84,52.23,53.44,54.84,56.14,57.25,58.26,51.66,53.07,54.46,55.87,57.17,58.28,59.28,3.586,3.89,4.194,4.529,4.864,5.169,5.463,3.843,4.179,4.524,4.9,5.267,5.601,5.917
64,50.9533333333333,52.34,53.5533333333333,54.9533333333333,56.2533333333333,57.3666666666667,58.38,51.78,53.1933333333333,54.58,55.9933333333333,57.2933333333333,58.4066666666667,59.4066666666667,3.61133333333333,3.91666666666667,4.222,4.55866666666667,4.89533333333333,5.202,5.49733333333333,3.87066666666667,4.20866666666667,4.55533333333333,4.93333333333333,5.30266666666667,5.638,5.956
65,51.0666666666667,52.45,53.6666666666667,55.0666666666667,56.3666666666667,57.4833333333333,58.5,51.9,53.3166666666667,54.7,56.1166666666667,57.4166666666667,58.5333333333333,59.5333333333333,3.63666666666667,3.94333333333333,4.25,4.58833333333333,4.92666666666667,5.235,5.53166666666667,3.89833333333333,4.23833333333333,4.58666666666667,4.96666666666667,5.33833333333333,5.675,5.995
66,51.18,52.56,53.78,55.18,56.48,57.6,58.62,52.02,53.44,54.82,56.24,57.54,58.66,59.66,3.662,3.97,4.278,4.618,4.958,5.268,5.566,3.926,4.268,4.618,5,5.374,5.712,6.034
67,51.2933333333333,52.67,53.8933333333333,55.2933333333333,56.5933333333333,57.7166666666667,58.74,52.14,53.5633333333333,54.94,56.3633333333333,57.6633333333333,58.7866666666667,59.7866666666667,3.68733333333333,3.99666666666667,4.306,4.64766666666667,4.98933333333333,5.301,5.60033333333333,3.95366666666667,4.29766666666667,4.64933333333333,5.03333333333333,5.40966666666667,5.749,6.073
68,51.4066666666667,52.78,54.0066666666667,55.4066666666667,56.7066666666667,57.8333333333333,58.86,52.26,53.6866666666667,55.06,56.4866666666667,57.7866666666667,58.9133333333333,59.9133333333333,3.71266666666667,4.02333333333333,4.334,4.67733333333333,5.02066666666667,5.334,5.63466666666667,3.98133333333333,4.32733333333333,4.68066666666667,5.06666666666667,5.44533333333333,5.786,6.112
69,51.52,52.89,54.12,55.52,56.82,57.95,58.98,52.38,53.81,55.18,56.61,57.91,59.04,60.04,3.738,4.05,4.362,4.707,5.052,5.367,5.669,4.009,4.357,4.712,5.1,5.481,5.823,6.151
70,51.6333333333333,53,54.2333333333333,55.6333333333333,56.9333333333333,58.0666666666667,59.1,52.5,53.9333333333333,55.3,56.7333333333333,58.0333333333333,59.1666666666667,60.1666666666667,3.76333333333333,4.07666666666667,4.39,4.73666666666667,5.08333333333333,5.4,5.70333333333333,4.03666666666667,4.38666666666667,4.74333333333333,5.13333333333333,5.51666666666667,5.86,6.19
71,51.7466666666667,53.11,54.3466666666667,55.7466666666667,57.0466666666667,58.1833333333333,59.22,52.62,54.0566666666667,55.42,56.8566666666667,58.1566666666667,59.2933333333333,60.2933333333333,3.78866666666667,4.10333333333333,4.418,4.76633333333333,5.11466666666667,5.433,5.73766666666667,4.06433333333333,4.41633333333333,4.77466666666667,5.16666666666667,5.55233333333333,5.897,6.229
